[2024-10-28T14:45:11.223Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Oct/0005.html

[2024-10-28T14:45:59.223Z]	<Ildiko_Mazar> Good morning, good afternoon everyone, welcome to today's W3C Verifiable Credentials for Education task force call, on Monday, October the 28th. Let's get started with the housekeeping items. IP Note: Anyone can participate in these calls. However, all substantive contributions to any Credentials Community Group Work Items must originate from members of the CCG with full IPR agreements signed. You can find the link to this in the meeting invites. You'll need to have a W3C account, that is also something easy to do online. Moving on to call notes. Please note that these meetings are recorded. We have a robot transcriber and we also make audio and video recordings, that are archived and available online. If you want to speak, please raise your hand, or add yourself to the queue by typing “q+” in the chat. And please be brief if you have a question to ask, we want to maximise the time for conversations. Thank you. Now to Introductions & Reintroductions. If we have any new people in the call, or somebody would like to reintroduce themselves, please feel free to take the floor. If nobody wants to take the floor, we can move on to announcements and reminders. Anyone has events or things that happened that people should be aware of, again, please queue yourself up and share the news with us. Now to the main agenda topic, that is Future of Learning & Working track's Office Hour.
[2024-10-28T14:55:23.486Z]	<Ildiko_Mazar>	present+
[2024-10-28T14:55:23.487Z]	<Perrine_de_Coëtlogon>	present+
[2024-10-28T15:01:01.583Z]	<Raj>	present+
[2024-10-28T15:01:03.645Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2024-10-28T15:01:31.110Z]	<Kim>	present+
[2024-10-28T15:01:32.209Z]	<Sharon_Leu>	present+
[2024-10-28T15:01:49.886Z]	<Kerri_Lemoie>	present+
[2024-10-28T15:01:57.623Z]	<Raj>	Hello everyone
[2024-10-28T15:02:01.372Z]	<Kerri_Lemoie>	Hello all
[2024-10-28T15:02:27.845Z]	<Ildiko_Mazar>	Hello everybody, welcome to today's VC EDU Task Force call
[2024-10-28T15:02:30.563Z]	<Dmitri_Zagidulin>	present+
[2024-10-28T15:03:07.237Z]	<Dmitri_Zagidulin>	present+
[2024-10-28T15:03:11.859Z]	<Transcriber>	scribe+
[2024-10-28T15:03:11.860Z]	<Transcriber>	Meeting: education
[2024-10-28T15:04:19.240Z]	<Eric_Sembrat>	present+
[2024-10-28T15:06:28.291Z]	<Transcriber>	Kerri_Lemoie: Hey elico this is Carrie uh Carrie lamoy I just wanted to jump on Kim is going to come back she's going to rejoin she was having some jitsi issues.
[2024-10-28T15:06:44.362Z]	<Transcriber>	Kerri_Lemoie: Um I think I believe the um the aim of today's call is just to see if anybody has any questions and to see if um we should review um any of the tasks and how to submit them I don't see too many folks on here so I'm not sure.
[2024-10-28T15:06:45.859Z]	<Eric_Sembrat>	present+
[2024-10-28T15:06:50.700Z]	<Kim>	present+
[2024-10-28T15:06:57.328Z]	<Transcriber>	Kerri_Lemoie: If there will be anybody with questions but um I just want to open the floor and see um if anybody does I think when Kim comes on she might be able to give you a status as to how things are going so far.
[2024-10-28T15:07:01.762Z]	<Naomi>	present+
[2024-10-28T15:07:05.302Z]	<Transcriber>	Kerri_Lemoie: Um so I don't I pause there and see does anybody have any questions about the hackathon or the projects you're working on.
[2024-10-28T15:07:45.876Z]	<Transcriber>	Kerri_Lemoie: Yeah looks like we have 401 participants but that's in the hackathon generally I'm not sure how many folks are participating in the education when that would be great to know Kim may know that when she comes on.
[2024-10-28T15:07:58.482Z]	<Alex_H>	present+
[2024-10-28T15:08:45.870Z]	<Kerri_Lemoie>	https://difhackathon.devpost.com/?ref_feature=challenge&ref_medium=discover
[2024-10-28T15:08:46.412Z]	<Transcriber>	Kim: I'm here now and yeah hi um sorry about that I uh yeah didn't work in the app but um yeah so we we actually won't know the Full Count until the very end um we do get some uh early submissions but they're sort of um you know not enough to make statistically significant predictions 1 thing I wanted to emphasize here well we we're getting a lot of a lot of participants um but 1 thing about this track is we have so many prizes that I want to make sure people know that it's not too late to get started so we still have a week left in the hackathon and um you know some of the the challenges are actually you can be done fairly quickly so um yeah not too late to sign up and um I the previous 1 we shared all the links to get.
[2024-10-28T15:08:47.354Z]	<Transcriber>	Kim:  started so.
[2024-10-28T15:08:47.836Z]	<Transcriber>	Kim: I'm not at the.
[2024-10-28T15:08:52.919Z]	<Transcriber>	Kim: Now but uh yes thank you Carrie that's that's where.
[2024-10-28T15:09:02.851Z]	<Transcriber>	Kerri_Lemoie: Yeah Kim I'm happy to share any links to other things if you'd like me to I know you're on the road right now.
[2024-10-28T15:09:20.760Z]	<Transcriber>	Kim: Yes uh thank you and so did we have any um questions yet or should I should we just start with a review of what we're doing I I can t that up if if so I don't see any questions yet.
[2024-10-28T15:09:31.400Z]	<Transcriber>	Kerri_Lemoie: I don't think we have any specific questions yet I know there were a couple of questions in Discord but we're kind of having a thread of discussions over there so um how about we do what you suggest and then um see if anything comes up.
[2024-10-28T15:09:37.938Z]	<Transcriber>	Kim: Yeah it sounds good so I can give a some context real quickly.
[2024-10-28T15:09:46.028Z]	<Transcriber>	Kim: Yeah the hackathon well the diff hackathon it's about uh getting people to build.
[2024-10-28T15:10:02.058Z]	<Transcriber>	Kim: Applications of decentralized identity so it's a really good opportunity to do whether it's a a side project that you've always wanted to do um and we have a lot of good uh uh tracks this year so we have.
[2024-10-28T15:10:11.798Z]	<Transcriber>	Kim: The education future of education and Workforce we have some focus on um verifiable Ai and.
[2024-10-28T15:10:51.507Z]	<Transcriber>	Kim: All of the nuances involved with that also hospitality and travel and reusable identity so a lot of interesting uh themes all of which decentralized identity can be uh Technologies and standards can be used to make meaningful impact so in the future of education and Workforce challenge we are building on the progress and success of the JFS jmf plugfest uh series of challenges and for reference those were uh focused on.
[2024-10-28T15:10:58.888Z]	<Rachel_Donahue_(she/they)_-_Digital_Promise>	present+
[2024-10-28T15:11:07.413Z]	<TimG>	present+
[2024-10-28T15:11:21.493Z]	<Transcriber>	Kim: Holder wallets uh verifiers and issuers to you know where the rubber meets the rub prove interoperability of these standards that we're building so for reference you know we all know that we're building according to standards verifiable credentials decentralized identifiers uh chappie or ovf uh for V VC VP but.
[2024-10-28T15:11:21.985Z]	<Transcriber>	Kim:  when it comes.
[2024-10-28T15:12:13.022Z]	<Alex_H>	present+
[2024-10-28T15:12:22.574Z]	<Transcriber>	Kim: To actually proving it out it turns out that people can interpret the standards differently they can combine them in different ways so jfa plugfest was very helpful for getting a set of issuers verifiers um uh holders to actually demonstrate that this they can use the standards to achieve interoperability and through that a lot of artifacts were built from the jmf plugfest those include um what we call profiles which are selections of Standards along with other requirements or samples to actually prove out flows uh tools sets like the VC playground that would actually show here's a sample um open badge V3 verifiable credential format um and just a wide range of other resources so that.
[2024-10-28T15:12:23.040Z]	<Transcriber>	Kim:  what is the.
[2024-10-28T15:12:37.825Z]	<Kerri_Lemoie>	Link to this strand: https://blog.identity.foundation/edu-hackathon-2024/
[2024-10-28T15:12:41.425Z]	<Transcriber>	Kim: For the verify potential future of education and Workforce hackathon um the the really nice thing about that is it lowers the barrier to entry to this hackathon track because it's a robust set of tools and um.
[2024-10-28T15:12:59.941Z]	<Transcriber>	Kim: Um you know specifications profiles that let people see how to get started so rather than build the all the tooling from scratch they have these components that they can just start using they can use a wallet or a test issuer things like that.
[2024-10-28T15:13:09.899Z]	<Transcriber>	Kim: So um and then so building on that we carved out 3 um kind of I'll call them series of challenges.
[2024-10-28T15:13:10.140Z]	<Transcriber>	Kim:  1 is.
