[2024-12-02T14:45:11.223Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Dec/0000.html

[2024-12-02T14:45:59.223Z]	<Ildiko_Mazar> Good morning, good afternoon everyone, welcome to today's W3C Verifiable Credentials for Education task force call, on Monday, December the 2nd. Let's get started with the housekeeping items. IP Note: Anyone can participate in these calls. However, all substantive contributions to any Credentials Community Group Work Items must originate from members of the CCG with full IPR agreements signed. You can find the link to this in the meeting invites. You'll need to have a W3C account, that is also something easy to do online. Moving on to call notes. Please note that these meetings are recorded. We have a robot transcriber and we also make audio and video recordings, that are archived and available online. If you want to speak, please raise your hand, or add yourself to the queue by typing “q+” in the chat. And please be brief if you have a question to ask, we want to maximise the time for conversations. Thank you. Now to Introductions & Reintroductions. If we have any new people in the call, or somebody would like to reintroduce themselves, please feel free to take the floor. If nobody wants to take the floor, we can move on to announcements and reminders. Anyone has events or things that happened that people should be aware of, again, please queue yourself up and share the news with us. Now to the main agenda topic, that is basically the continuation of the discussion Kerri started via email and we also had our last meeting about: multilingual credentials and achievement subject areas.
[2024-12-02T15:50:47.622Z]	<Ildiko_Mazar>	present+
[2024-12-02T15:56:38.090Z]	<Dmitri_Zagidulin>	present+
[2024-12-02T15:57:05.915Z]	<Anthony_F._Camilleri>	present+
[2024-12-02T15:58:31.609Z]	<Stuart_Freeman>	present+
[2024-12-02T15:59:49.619Z]	<Eric_Shepherd>	present+
[2024-12-02T15:59:55.516Z]	<Vikas_Malhotra>	present+
[2024-12-02T16:00:26.456Z]	<Andy_Griebel>	present+
[2024-12-02T16:00:27.366Z]	<Alex_Higuera_(DCC)>	present+
[2024-12-02T16:00:45.217Z]	<Anthony_F._Camilleri>	present+
[2024-12-02T16:01:05.361Z]	<Phil_Barker>	present+
[2024-12-02T16:01:05.822Z]	<Simone_Ravaioli>	present+
[2024-12-02T16:01:36.257Z]	<Kristen_Franklin,_Digital_Promise_Global>	present+
[2024-12-02T16:01:54.525Z]	<Luisa>	present+
[2024-12-02T16:02:24.154Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2024-12-02T16:02:44.549Z]	<Transcriber>	scribe+
[2024-12-02T16:02:44.549Z]	<Transcriber>	Meeting: education
[2024-12-02T16:02:48.629Z]	<Christoph_Graf_(switch.ch)>	present+
[2024-12-02T16:02:53.230Z]	<Sheela_Kiiskila>	present+
[2024-12-02T16:03:14.758Z]	<Keith_Hackett>	present+
[2024-12-02T16:03:20.708Z]	<Andres>	present+
[2024-12-02T16:03:32.801Z]	<James_Chartrand>	present+
[2024-12-02T16:03:45.079Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	just fyi, the transcriber doesn't like anyone whose voice originates outside USA. You'll still be in the audio recording.
[2024-12-02T16:04:06.492Z]	<Xavi_Aracil_(1EdTech)>	present+
[2024-12-02T16:05:07.083Z]	<Kerri_Lemoie>	present+
[2024-12-02T16:06:12.997Z]	<Stuart_Freeman>	present+
[2024-12-02T16:06:19.468Z]	<Kerri_Lemoie>	Hello Anthony!
[2024-12-02T16:07:29.009Z]	<Anthony_F._Camilleri>	Hi Kerri! Long time!
[2024-12-02T16:07:31.686Z]	<Jeff_O_/_HumanOS>	present+
[2024-12-02T16:07:50.088Z]	<Kerri_Lemoie>	Email thread about multilingual credentials: https://lists.w3.org/Archives/Public/public-vc-edu/2024Nov/0003.html
[2024-12-02T16:08:03.473Z]	<Kerri_Lemoie>	(Apologies for not replying - will follow-up this week)
[2024-12-02T16:09:13.305Z]	<Kaliya_Identity_Woman>	present+
[2024-12-02T16:10:27.627Z]	<Kayode_Ezike>	present+
[2024-12-02T16:11:43.604Z]	<Ildiko_Mazar>	English + 28 other languages, to be precise :-)
[2024-12-02T16:12:38.469Z]	<Phil>	present+
[2024-12-02T16:12:54.394Z]	<Transcriber>	Dmitri_Zagidulin: Yeah uh so I just wanted to double check that I understand correctly so you're translating both the contents of the field and the field label.
[2024-12-02T16:13:09.502Z]	<Transcriber>	Dmitri_Zagidulin: Got it okay.
[2024-12-02T16:13:15.493Z]	<Transcriber>	Dmitri_Zagidulin: Okay got it okay understood.
[2024-12-02T16:13:46.275Z]	<Transcriber>	Dmitri_Zagidulin: So it sounds to me that we here at VC Edge you have are dealing with now 3 different um translation or internationalization model this 1.
[2024-12-02T16:14:03.101Z]	<Transcriber>	Dmitri_Zagidulin: The uh related 1 that the related field that obvious 3 uses and the VC 2.0 data model approach so that that'll be interesting to juggle.
[2024-12-02T16:14:34.832Z]	<Transcriber>	Dmitri_Zagidulin: Doesn't seem to be the case just looking at the code.
[2024-12-02T16:15:04.183Z]	<David_Ward>	present+
[2024-12-02T16:15:31.125Z]	<Kerri_Lemoie>	WOuld you be able to provide a link to an example of a whole credential json-ld that we could look at?
[2024-12-02T16:15:50.330Z]	<Transcriber>	Dmitri_Zagidulin: Carry in the chat um is asking can you paste a link to that Json view into chat so that we can record it.
[2024-12-02T16:15:50.818Z]	<Ildiko_Mazar>	https://europa.eu/europass/elm-browser/homepage/edc-generic-no-cv_en.html
[2024-12-02T16:15:51.714Z]	<Transcriber>	Kerri_Lemoie: Awesome thank you.
[2024-12-02T16:15:55.154Z]	<Transcriber>	Dmitri_Zagidulin: And how do we.
[2024-12-02T16:16:01.707Z]	<Transcriber>	Dmitri_Zagidulin: How do we get from from this link that you're on right now how do we get to the Json.
[2024-12-02T16:16:10.062Z]	<Transcriber>	Dmitri_Zagidulin: Yes how do we get to that.
[2024-12-02T16:16:29.729Z]	<Ildiko_Mazar>	https://code.europa.eu/qualifications-courses-and-credentials/ELM-support/-/tree/main/credential%20examples/JSON-LD%20Examples%20(ELM%20v3)?ref_type=heads
[2024-12-02T16:17:00.790Z]	<Kaliya_Identity_Woman>	present+
[2024-12-02T16:17:11.229Z]	<Phil_Barker>	Is there a reason for prefLabel having an array for each label?
[2024-12-02T16:17:22.814Z]	<Kerri_Lemoie>	q+
[2024-12-02T16:17:53.664Z]	<Phil_Barker>	:-)
